olay_id,tarih,mro_id,olay_turu,risk_seviyesi,kesinti_dak,maddi_kayip_TL,kvkk_ozel,shy145_72sa_uygunluk,mitre_tactic,mitre_technique,ek19_kontroller,etkilenen_hizmet_sayisi
CDSA-MRO-SDG-000001,2024-09-07,MRO-TR-619,konfigurasyon_hatasi,4,1603,55597,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000002,2025-07-03,MRO-EU-225,fidye_yazilimi,4,841,147321,HAYIR,EVET,TA0040,T1486,9.1.1|14.1.1|5.2.1,4
CDSA-MRO-SDG-000003,2024-02-27,MRO-TR-611,yetki_iptal_eksikligi,3,112,83226,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000004,2025-04-24,MRO-TR-246,oltalama_saldirisi,3,1167,63416,EVET,HAYIR,TA0001,T1566,1.2.1|4.1.1|1.4.2,4
CDSA-MRO-SDG-000005,2024-03-21,MRO-TR-725,oltalama_saldirisi,3,1080,308455,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,2
CDSA-MRO-SDG-000006,2024-02-02,MRO-TR-286,konfigurasyon_hatasi,3,1087,107689,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000007,2024-03-18,MRO-TR-052,usb_zararli_yazilim,3,1808,390023,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,2
CDSA-MRO-SDG-000008,2025-06-27,MRO-TR-551,konfigurasyon_hatasi,3,1899,330473,HAYIR,HAYIR,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000009,2024-12-23,MRO-TR-166,ot_sistem_sizmasi,4,510,180735,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,4
CDSA-MRO-SDG-000010,2025-03-13,MRO-TR-755,egitim_sistem_manipulasyonu,3,351,469001,EVET,EVET,TA0009,T1565,4.3.1|7.4.1|3.2.1,2
CDSA-MRO-SDG-000011,2025-02-25,MRO-TR-040,sosyal_muhendislik,3,1549,97157,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,4
CDSA-MRO-SDG-000012,2024-11-17,MRO-TR-312,hesap_ele_gecirme,4,1157,220748,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,4
CDSA-MRO-SDG-000013,2025-08-16,MRO-TR-798,fidye_yazilimi,4,636,82840,HAYIR,EVET,TA0040,T1486,9.1.1|14.1.1|5.2.1,4
